"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","gender_norm_trans_moral_wrong_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","survey_language_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","miami_trans_law_t2","miami_trans_law2_t2","therm_obama_t2","therm_jbush_t2","therm_trans_t2","therm_police_t2","therm_firefighters_t2","gender_norm_looks_t2","gender_norm_rights_t2","gender_norm_moral_t2","gender_norm_dress_t2","gender_norm_sexchange_t2","gender_norm_abnormal_t2","gender_norm_trans_moral_wrong_t2","trans_teacher_t2","trans_bathroom_t2","respondent_t2","miami_trans_law_withdef_t3","miami_trans_law2_withdef_t3","therm_obama_t3","therm_jbush_t3","therm_trans_t3","therm_police_t3","therm_firefighters_t3","gender_norm_looks_t3","gender_norm_rights_t3","gender_norm_moral_t3","gender_norm_dress_t3","gender_norm_sexchange_t3","gender_norm_abnormal_t3","gender_norm_trans_moral_wrong_t3","trans_teacher_t3","trans_bathroom_t3","trans_ad_displayed_t3","trans_law_post_ad_t3","respondent_t3","nfc_t3","miami_trans_law_withdef_t4","miami_trans_law2_withdef_t4","therm_obama_t4","therm_trans_t4","therm_mousavi_t4","gender_norm_looks_t4","gender_norm_rights_t4","gender_norm_moral_t4","gender_norm_dress_t4","gender_norm_sexchange_t4","gender_norm_abnormal_t4","gender_norm_trans_moral_wrong_t4","trans_teacher_t4","trans_bathroom_t4","respondent_t4","marijuana_pread1","marijuana_pread2","marijuana_postad","exp_actual_convo","contacted","survey_language_es","sdo_scale","treat_ind","canvass_recycling_rating","canvass_trans_ratingstart","canvass_trans_ratingsecond","canvass_trans_ratingend","canvass_minutes","canvasser_experience","canvasser_trans","canvasser_id","hh_id","block_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","all.dvs.t2","all.dvs.t3","all.dvs.t4","trans.tolerance.dv.t0","trans.tolerance.dv.t1","trans.tolerance.dv.t2","trans.tolerance.dv.t3","trans.tolerance.dv.t4","miami_trans_law_t0_avg","miami_trans_law_t1_avg","miami_trans_law_t2_avg","miami_trans_law_t3_avg","miami_trans_law_t4_avg","gender_nonconformity_t0","gender_nonconformity_t1","gender_nonconformity_t2","gender_nonconformity_t3","gender_nonconformity_t4","treatment.delivered","t1.resid","transformed.outcome"
"67577",1951,23,"N","Hispanic",0,0,0,1,1,1,0,0,0,2,2,0,-1,-1,0,0,1,NA,2,60,50,50,40,67,2,1,1,1,0,1,0.149373024702072,"EN",2,2,58,50,50,-1,-1,0,0,0,0,1,2,0,55,58,50,45,82,0,0,0,0,0,1,1,0,0,1,1,0,52,50,50,54,50,0,-1,0,-1,0,0,0,0,0,"Yes, I could see and hear the ad",0,1,-0.444276809692383,2,0,50,50,50,-1,-1,1,-1,0,0,0,0,0,1,0,1,0,"Trans-Equality",1,0,0,1,"",NA,NA,NA,0,"No",1,22,"june6_10747","june6_157",0.149373024702072,1,0.0375972197504609,0.168258368892117,-0.133878749110425,0.0403741228230818,0.179341582122808,-0.0961481004795024,0.293052540871088,0.0242335012548508,0.118721113350482,2,2,1,0.5,1,-0.413220837014379,-0.374804201368527,0.660618186367629,0.0161215512702245,-0.206026197278334,FALSE,-0.244869049296042,-0.489738098592083
"67581",48834,36,"R","Hispanic",1,0,0,1,1,1,1,0,1,2,2,-1,-1,-1,0,0,1,NA,0,50,50,50,40,80,-1,3,1,1,1,-2,-0.274714112281799,"EN",2,2,50,80,20,0,-1,0,1,0,1,1,2,2,50,50,75,80,95,0,-1,0,0,1,1,1,1,1,1,2,2,50,50,75,80,95,-1,-1,0,-1,1,0,0,1,0,"Yes, I could see and hear the ad",2,1,0.397163391113281,2,2,50,80,30,-1,0,0,0,1,1,1,1,0,1,0,1,0,"Trans-Equality",1,0,0,1,"",10,10,10,7,"No",0,8,"june6_10847","june6_107",-0.274714112281799,0,0.586548728165338,0.702964209632574,0.472120526550402,0.734614671660615,0.179341582122808,0.625214345278473,0.877639015284661,0.47642571737646,0.768771003121483,2,2,2,2,2,-0.413220837014379,0.0665943317083116,0.365619876614902,-0.295092318826046,0.449569242015336,TRUE,0.458869815517523,0.917739631035047
"67582",60048,77,"D","Caucasian",0,0,1,0,1,1,1,1,0,2,2,1,-1,-1,0,0,0,NA,2,100,50,50,50,100,2,5,1,1,0,3,0.0772799625992775,"EN",3,3,100,100,50,0,0,-2,0,2,2,1,3,3,100,21,76,22,50,2,2,2,2,-2,2,2,-2,2,1,2,2,75,40,50,20,50,0,0,0,0,1,1,1,1,0,"Yes, I could see and hear the ad",2,1,-0.512668550014496,3,3,100,100,50,-1,1,1,-1,1,1,1,1,1,1,0,2,1,"Trans-Equality",1,0,0,1,"",10,10,10,5,"Yes",0,37,"june6_10866","june6_148",0.0772799625992775,0,1.02001314189051,1.12532451870304,0.598151852009726,1.20197346643362,-0.0845401336505679,0.883186750733921,0.829510643510166,0.618614644905824,1.18970261839941,2,3,3,2,3,-0.413220837014379,0.559228919758662,2.49369884230302,0.633712229251738,0.426614378085421,TRUE,0.892384070245421,1.78476814049084
"67588",12346,72,"R","Caucasian",0,0,1,0,1,1,1,0,1,-1,-1,-1,-2,-2,-2,-2,-1,NA,-2,8,50,50,50,50,-2,5,1,1,0,-2,-1.5830956697464,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,0,1,"",NA,NA,NA,1,"No",0,8,"june6_10980","june6_13",-1.5830956697464,0,NA,NA,NA,NA,-1.36469289091758,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1.37406380726985,NA,NA,NA,NA,FALSE,NA,NA
"67590",22634,49,"R","Hispanic",1,0,0,1,0,0,0,0,1,3,3,-2,0,0,1,0,0,NA,3,33,100,70,50,50,0,0,1,1,1,-2,0.636457085609436,"EN",3,3,22,100,60,-1,0,2,2,2,2,1,3,3,69,53,100,90,100,2,-2,2,1,2,2,2,2,2,1,3,3,80,55,100,50,50,2,-1,2,2,2,2,2,2,2,"Yes, I could see and hear the ad",3,1,0.419492721557617,3,3,100,100,50,2,-2,2,2,2,1,2,2,1,1,0,2,1,"Trans-Equality",1,0,0,1,"",10,10,NA,0,"No",1,40,"june6_10990","june6_257",1.09446883201599,0,1.91899569620879,1.83766277463782,1.82300091090152,1.63701806943922,0.398465313186396,2.06568535937137,2.08692801345187,2.10567709762699,1.78711945349546,3,3,3,3,3,0.547622133241092,0.117830386681824,0.997477601462624,1.56446438681624,1.45228515819801,TRUE,1.21322690199593,2.42645380399186
"67593",29659,65,"R","Hispanic",1,0,0,1,1,1,1,0,1,3,3,2,-2,-1,1,-1,-1,NA,2,93,94,31,93,100,0,4,1,1,1,2,-0.156562700867653,"EN",2,3,94,95,96,-1,-1,0,-1,0,-1,1,2,1,50,100,73,100,100,-2,-2,-1,-2,0,-1,-1,0,-1,1,2,1,50,100,69,50,100,-1,-1,-1,-1,0,0,0,0,0,"Yes, I could see and hear the ad",2,1,1.15859818458557,2,1,71,50,0,-1,0,0,0,0,-1,0,1,0,1,0,2,1,"Trans-Equality",1,0,0,1,"",NA,NA,NA,0,"No",1,22,"june6_110","june6_122",-0.156562700867653,0,0.169635821761169,-0.32055779970269,0.0625350293396101,-0.143965506966862,-0.569766780754992,-0.129389988445325,-0.482412814159881,0.0103338691236368,-0.044636948271569,3,2.5,1.5,1.5,1.5,-0.880250101748978,-0.374804201368527,-1.17246246956776,-0.295092318826046,0.449569242015336,FALSE,0.0270257005143336,0.0540514010286672
"67594",2684,75,"R","Caucasian",1,0,1,0,1,1,1,0,1,3,3,2,-2,-2,2,-2,0,NA,2,99,65,50,69,79,3,1,1,1,0,1,-0.0848078206181526,"EN",3,3,50,100,68,0,0,1,1,1,0,1,3,3,100,0,58,92,50,-1,0,0,-1,1,1,0,0,1,1,3,3,99,5,50,50,50,-1,-2,0,0,1,0,0,0,1,"",0,1,-0.0624315068125725,3,3,50,97,50,0,0,0,0,1,0,0,0,0,1,1,2,1,"Trans-Equality",1,0,0,1,"",10,10,10,7,"No",0,3,"june6_11012","june6_131",-0.0848078206181526,0,1.12136865036595,0.659380885034221,0.505252916084345,0.749841880510415,-0.0897660715362252,0.993067275060537,0.467841528985156,0.301502983193841,0.425759659589941,3,3,3,3,3,-1.37406380726985,0.559228919758662,0.0390761681526618,-0.295406266571913,0.768504638122952,TRUE,1.0641166119198,2.12823322383959
"67596",47254,24,"R","Hispanic",1,0,0,1,0,1,0,0,1,3,3,-2,1,-2,1,1,0,NA,3,60,90,90,40,90,0,0,1,1,1,-1,0.87057238817215,"EN",3,3,50,90,50,0,-2,2,2,0,2,1,3,3,70,50,80,80,80,0,-1,2,1,2,0,2,1,1,1,3,3,50,59,70,60,80,0,-1,2,1,1,0,2,0,-1,"",0,1,0.643627107143402,3,2,50,86,50,-1,-1,1,0,1,0,1,1,-1,1,0,2,0,"Recycling",1,0,0,0,"",NA,NA,NA,0,"No",1,40,"june6_11030","june6_236",0.87057238817215,0,1.51101212281751,1.39944071531759,1.19929353047354,0.866142915939901,0.884083728966189,1.52928793095227,1.36028802518133,0.771683019169412,0.660970697256272,3,3,3,3,2.5,0.0270239869339474,-0.426040256342039,0.681847878444388,0.633398281505871,0.133248954333458,FALSE,0.432326078059121,-0.864652156118242
"67600",32323,60,"D","Hispanic",1,0,0,1,1,1,1,1,0,0,2,1,-1,-1,0,0,0,NA,0,50,50,50,50,50,1,0,1,1,0,3,-0.185215771198273,"EN",2,2,100,50,50,-1,-1,0,0,0,0,1,2,2,100,0,50,100,100,-1,-1,0,-1,0,0,0,0,0,1,2,2,100,1,50,50,50,-1,-1,0,-1,1,0,0,0,-1,"Yes, I could see and hear the ad",0,1,-2.42033505439758,-1,3,100,50,50,-1,-1,0,-1,0,0,0,0,0,1,0,2,0,"Recycling",1,0,0,1,"",NA,NA,NA,0,"Yes",0,25,"june6_11209","june6_118",-0.185215771198273,0,0.0375972197504609,0.091760356717658,0.305528635997712,-0.0897707047677192,-0.0845401336505679,-0.0961481004795024,-0.0213130465999309,0.03161374286731,-0.0304401299463182,1,2,2,2,1,-0.413220837014379,-0.374804201368527,-0.255922141600065,-0.295092318826046,-0.206026197278334,FALSE,-0.228715353841901,-0.457430707683803
"67605",10721,55,"D","Asian",0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,0,-1,0,NA,0,50,50,50,50,50,1,1,1,1,0,2,-0.365824282169342,"EN",1,0,50,50,50,-1,-1,0,-1,0,1,1,0,0,50,50,50,50,50,-1,-2,-1,-1,0,0,0,0,-1,1,-1,0,50,78,78,50,50,-1,-1,-1,-1,-2,-1,-1,-1,-1,"Yes, I could see and hear the ad",-1,1,-0.69780045747757,0,0,58,50,50,-1,-1,-1,-1,0,0,-1,0,-1,1,0,-1,0,"Recycling",1,0,0,0,"Against",NA,NA,NA,5,"Yes",1,42,"june6_11268","june6_95",-0.365824282169342,0,-0.325039858992439,-0.506845300709184,-0.847830155388262,-0.582617256334554,-0.339914378495393,-0.100112575821718,-0.320650266202006,-0.800465219644382,-0.478964695133172,0,0.5,0,-0.5,0,-0.413220837014379,-0.374804201368527,-0.550920451352791,-0.295092318826046,-0.206026197278334,FALSE,0.136306762844067,-0.272613525688134
"67606",43250,44,"N","Hispanic",1,0,0,1,1,1,0,0,0,0,1,-1,1,0,1,0,1,NA,2,89,50,50,18,50,0,3,1,1,0,2,0.115740872919559,"EN",2,1,77,76,14,0,0,1,1,0,1,1,3,3,50,50,47,50,81,0,0,1,1,2,1,1,1,1,1,2,3,50,70,68,50,50,1,0,0,1,1,1,1,0,0,"I could only see the ad, but the sound did not work",2,1,0.42241695523262,2,2,50,50,50,1,1,1,1,1,1,1,0,1,1,0,1,0,"Trans-Equality",1,0,0,1,"",7,7,8,7,"No",1,32,"june6_11272","june6_153",0.115740872919559,1,0.576888610498439,1.02495634856643,0.818304013454683,0.681438759384075,0.432102858024804,0.771619559859756,0.98322484490609,0.599482410931453,0.722313765424806,0.5,1.5,3,2.5,2,1.01465139797569,0.559228919758662,0.976846188197114,1.25356446446583,1.74303547352424,TRUE,0.242442277102668,0.484884554205335
"67607",45217,69,"Other Party","Hispanic",1,0,0,1,0,0,0,0,0,2,2,-1,-1,-1,0,0,1,NA,-2,82,50,50,21,89,0,1,1,0,0,1,-0.296249598264694,"EN",2,3,80,94,22,2,-1,1,1,2,2,1,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,1,3,3,70,100,100,50,100,-1,-1,0,-1,1,1,1,1,1,"",0,1,-2.08848643302917,3,3,50,50,50,0,0,0,0,0,0,0,0,0,1,0,3,0,"Trans-Equality",1,0,0,1,"",10,6,10,15,"No",1,20,"june6_11281","june6_103",-0.296249598264694,0,1.45230834790596,-0.357384045124575,1.13105991320174,0.299699424481328,0.179341582122808,1.6024913880928,-0.0213130465999309,1.09162335852434,-0.0304401299463182,2,2.5,0,3,3,-0.413220837014379,0.949391397861989,0.660618186367629,-0.295092318826046,0.768504638122952,TRUE,1.65788788126652,3.31577576253305
"67612",22534,46,"D","Caucasian",1,0,1,0,1,1,1,1,0,3,3,-1,1,1,2,-2,-2,NA,3,76,95,92,54,88,1,1,1,1,0,1,0.690563499927521,"EN",3,2,84,84,67,1,1,1,1,1,1,1,3,3,50,75,78,71,88,1,1,1,1,2,2,2,1,1,1,2,2,50,74,88,72,50,1,1,1,1,2,2,2,1,1,"I could only see the ad, but the sound did not work",2,1,-0.486071079969406,3,3,80,89,50,1,0,1,1,2,2,1,1,1,1,0,2,0,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,2,"No",1,45,"june6_11390","june6_214",0.690563499927521,0,1.04159728245326,1.5392965368702,1.41339218489295,1.42291356112396,-0.134016744119543,1.06734309638099,1.50327278998178,1.606397799772,1.42208537706646,3,2.5,3,2,3,1.50846510349656,1.49326204088585,1.57715851433532,1.56251677732952,1.42671518584236,FALSE,0.270077857659175,-0.540155715318349
"67614",10526,27,"N","Hispanic",1,0,0,1,0,0,0,0,0,3,3,1,-2,-2,1,-1,-1,NA,1,100,50,50,0,100,-2,2,1,1,0,1,-0.320955008268356,"EN",0,2,100,50,0,-2,-2,2,0,-1,-1,1,3,2,100,50,70,100,100,-2,-2,-1,-2,1,0,0,1,0,1,3,2,100,50,100,100,50,-1,-1,0,-1,1,0,0,1,-1,"Yes, I could see and hear the ad",2,1,1.00905215740204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Trans-Equality",1,0,0,1,"",NA,NA,NA,0,"Yes",1,56,"june6_11466","june6_99",-0.320955008268356,1,-0.236443398260702,0.325702822264058,0.738230696942704,NA,-0.351034818366772,-0.173337029158633,0.230761634404361,0.510513143940818,NA,3,1,2.5,2.5,NA,-1.37406380726985,-1.30883732249572,-1.17246246956776,-0.295092318826046,NA,FALSE,-0.106722137990438,-0.213444275980877
"67616",1208,34,"N","Hispanic",1,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,0,NA,2,50,93,100,0,100,0,4,1,1,0,0,0.538440704345703,"EN",3,2,50,88,0,0,0,2,1,1,0,1,2,2,70,70,80,50,91,0,1,0,0,1,0,0,1,0,1,3,3,50,50,80,94,94,0,0,0,0,1,0,0,0,1,"Yes, I could see and hear the ad",-1,1,-0.902887403964996,2,3,50,88,49,-1,-1,0,-1,2,0,0,1,0,1,0,-2,0,"Recycling",1,0,0,0,"Against",NA,NA,NA,1,"No",1,14,"june6_11487","june6_132",-0.0743657946586609,1,1.05217568496381,0.432286719446453,0.705163184747573,0.741504018894044,0.996592845490844,1.06607296347732,0.452279250160082,0.504341439266989,0.657008612934872,2,2.5,2,3,2.5,0.547622133241092,0.559228919758662,0.955616496120355,0.633712229251738,-0.206026197278334,FALSE,0.172982947858527,-0.345965895717055
"67624",36443,68,"D","Caucasian",0,0,1,0,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,1,NA,-2,72,8,9,55,75,1,0,1,1,0,3,-0.78044605255127,"EN",2,2,76,48,50,-1,-1,1,1,1,1,1,2,2,63,28,60,25,50,-1,-1,0,-1,1,1,1,2,1,1,2,2,50,50,50,44,95,-1,0,0,-1,1,1,1,2,0,"Yes, I could see and hear the ad",-1,1,-0.961002111434937,0,1,50,77,39,0,-1,1,-1,1,1,1,1,0,1,0,2,0,"Trans-Equality",1,0,0,1,"",9,8,9,10,"Yes",0,37,"june6_11528","june6_120",-0.174932390451431,0,0.658177063193968,0.601438085416886,0.598151852009726,0.560066599855409,-0.800794489040698,0.73704522864076,0.916465172979356,0.759449952524085,0.898337726913586,0.5,2,2,2,0.5,-0.413220837014379,-0.374804201368527,-0.255922141600065,0.0138599940376445,0.112909198829282,TRUE,1.22717865946739,2.45435731893478
"67628",37819,64,"R","Hispanic",0,0,0,1,0,1,1,0,1,3,3,1,-1,0,1,0,-1,NA,2,81,60,50,19,95,-2,2,1,1,0,-2,-0.0699941515922546,"EN",2,2,50,17,17,-1,-1,1,0,0,0,1,2,2,50,93,50,98,100,-2,1,-1,-2,1,0,0,0,-1,1,1,2,71,50,50,92,98,-1,0,-1,-1,1,0,0,0,0,"Yes, I could see and hear the ad",0,1,-1.16651618480682,1,2,94,61,50,-2,-1,-1,-2,1,0,0,1,0,1,0,2,0,"Recycling",1,0,0,0,"",NA,NA,NA,0,"No",1,40,"june6_11614","june6_147",0.0716714486479759,0,-0.0649998080489293,0.0797732154304694,0.0760900177014579,0.081940471901374,-0.0956605735219475,-0.21581616824452,-0.184455291401537,0.0241943753863671,0.182277710133121,3,2,2,1.5,1.5,0.0805928685064935,-0.374804201368527,-0.287467540309579,0.0138599940376445,-0.864236744997742,FALSE,-0.363500517945894,0.727001035891787
"67630",62063,53,"D","Hispanic",1,0,0,1,1,1,1,1,0,-2,1,-1,-2,-2,0,-1,-1,NA,-3,90,40,60,0,70,-2,4,1,0,0,3,-1.09085297584534,"ES",1,-1,90,30,0,-2,-2,0,-2,-1,-1,1,2,-1,90,0,20,75,50,-2,-2,-2,-2,-1,-1,-1,-1,-1,1,-1,-2,95,50,20,50,90,-2,-2,-2,-2,-1,-2,-2,-1,-2,"",0,1,-0.314970821142197,-1,1,50,20,50,-2,-2,-2,-2,-1,-2,-2,-1,-2,1,0,3,0,"Recycling",1,1,0,0,"Against",NA,NA,NA,6,"No",1,45,"june6_11662","june6_38",-1.06208872795105,0,-1.25139271797265,-1.19424032789704,-1.71780179165871,-1.49735224290381,-0.488674008801284,-1.17312449788026,-1.26377661857435,-1.63882428834121,-1.72348765966918,-0.5,0,0.5,-1.5,0,-1.37406380726985,-1.30883732249572,-1.17246246956776,-1.22389686690383,-1.18055703267962,FALSE,-0.963269208853288,1.92653841770658
"67634",12313,48,"R","Caucasian",0,0,1,0,1,1,1,0,1,1,3,0,0,0,0,2,2,NA,1,50,50,50,0,50,0,4,1,1,1,-3,0.288213521242142,"EN",0,0,50,50,50,0,0,0,0,0,0,1,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,-1,1,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,-1,"",0,1,-0.682037174701691,0,0,50,50,50,0,0,0,0,0,0,0,0,0,1,0,0,0,"Recycling",1,0,0,0,"Against",NA,NA,NA,5,"Yes",0,54,"june6_11692","june6_173",0.297442197799683,0,-0.439186914966468,-0.357384045124575,-0.233397028950038,-0.294638307381971,0.953971787585832,-0.0961481004795024,-0.165481798060696,-0.110711118908415,-0.0304401299463182,2,0,0,0,0,0.547622133241092,0.559228919758662,0.660618186367629,0.633712229251738,0.768504638122952,FALSE,-0.54629558514296,1.09259117028592
"67635",60569,18,"N","Caucasian",0,0,1,0,0,0,0,0,0,2,3,1,1,0,1,1,1,NA,3,50,90,50,90,90,1,1,1,1,1,0,0.694361865520477,"EN",0,2,50,72,81,0,0,0,0,0,0,1,3,2,77,78,77,89,50,0,0,0,0,1,0,1,1,0,1,0,3,50,50,62,87,50,1,-2,1,1,2,1,1,1,1,"Yes, I could see and hear the ad",2,1,-0.682037174701691,2,3,50,100,50,0,-2,1,1,1,1,1,1,1,1,1,0,1,"Trans-Equality",1,0,0,1,"",5,5,10,6,"Yes",0,25,"june6_11696","june6_186",0.410985678434372,1,-0.0297322578790848,0.675635520557677,0.848682843273938,1.10460593412136,0.687477102869628,0.105700596472863,0.591028562114455,1.11938349691828,1.18970261839941,2.5,1,2.5,1.5,2.5,1.01465139797569,0.559228919758662,0.660618186367629,0.635659838738451,0.475139214370988,TRUE,-0.57818973844459,-1.15637947688918
"67637",52423,63,"N","Caucasian",0,0,1,0,1,1,1,0,0,3,3,-2,2,-1,1,1,-1,NA,2,75,55,49,95,49,2,0,1,1,1,1,0.679742395877838,"EN",2,2,59,46,84,1,-1,1,1,-1,2,1,3,3,55,45,50,50,61,1,-2,2,2,1,-1,2,2,2,1,3,3,55,40,49,50,50,2,-2,2,2,1,-2,1,2,1,"Yes, I could see and hear the ad",3,1,0.275161653757095,3,3,50,50,50,1,-1,2,1,1,-1,1,2,1,1,0,-1,1,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,0,"No",1,20,"june6_11742","june6_213",0.679742395877838,1,0.471890328003449,0.90748740573913,0.624573122902136,0.730214083882533,0.148201462776129,0.495122200035602,1.15185270688238,0.718871838783075,0.843081372071104,3,2,3,3,3,0.987866957189418,0.50799286478515,1.00839158690663,1.25551207395254,1.11039489816048,FALSE,0.0278086994543188,-0.0556173989086375
"67639",5981,64,"D","Asian",0,0,0,0,0,1,0,1,0,3,3,0,-1,-1,1,-1,0,NA,1,79,70,64,73,33,1,1,1,1,1,2,0.242927581071854,"EN",3,1,50,40,59,0,0,1,-1,0,-1,1,1,2,67,50,42,38,67,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,2,90,50,59,36,50,0,0,0,0,0,0,0,0,0,"Yes, I could see and hear the ad",3,1,0.594368696212769,3,3,75,43,50,1,-1,1,1,1,1,1,1,1,1,0,2,1,"Trans-Equality",1,0,0,1,"",NA,NA,NA,0,"No",0,4,"june6_11765","june6_190",0.432969450950623,0,-0.226893458674881,-0.664403252216757,0.325542891661809,0.834412238505192,0.0740178170610811,-0.450906753162707,-0.674302522759804,0.0850850380767954,0.817406747810182,3,2,1.5,2.5,3,-0.413220837014379,0.559228919758662,-0.255922141600065,0.633712229251738,1.11039489816048,FALSE,-0.690197339140308,-1.38039467828062
"67641",8731,23,"N","Hispanic",0,0,0,1,1,1,0,0,0,3,3,-1,2,0,2,2,2,NA,3,80,100,100,70,100,1,1,1,1,1,0,1.44268298149109,"EN",3,3,80,100,70,2,0,2,2,2,2,1,3,3,80,70,90,70,92,1,0,2,1,2,1,2,2,1,1,3,3,50,75,96,50,96,2,0,2,1,2,2,2,2,1,"Yes, I could see and hear the ad",3,1,0.320890039205551,3,3,80,100,42,2,0,2,1,2,2,2,2,1,1,1,0,1,"Recycling",1,0,0,0,"Against",NA,NA,NA,0,"No",1,32,"june6_11790","june6_276",1.44268298149109,1,1.91899569620879,1.6185517449777,1.79634620841309,1.78182537862414,2.03510476672724,2.06568535937137,1.72069858314437,1.94368734998731,1.94212979971705,3,3,3,3,3,1.48168066271029,1.44202598591234,1.2821602045826,1.5647783345621,1.74565058194998,FALSE,0.347834357292205,-0.695668714584409
"67642",59179,50,"N","Caucasian",0,0,1,0,1,1,1,0,0,2,2,0,0,1,0,1,-1,NA,2,72,100,94,50,100,0,0,1,1,1,1,0.583939850330353,"EN",2,2,50,82,50,1,0,0,1,0,0,1,2,1,82,53,90,93,100,0,-1,0,0,1,0,0,1,0,1,2,2,82,36,83,50,50,0,-1,0,0,0,0,0,1,1,"Yes, I could see and hear the ad",2,1,0.397163391113281,2,2,72,92,50,0,0,1,0,0,0,1,1,0,1,1,3,1,"Recycling",1,0,0,0,"Against",NA,NA,NA,1,"No",0,52,"june6_1186","june6_207",0.583939850330353,1,0.439267949633624,0.385960042548467,0.385952826752778,0.660400385146041,0.413489571477811,0.422489353170148,0.518628397774493,0.52313573071684,0.692080994252797,2,2,1.5,2,2,1.04143583876196,1.0006274528355,0.365619876614902,0.324759916388048,0.768504638122952,FALSE,-0.307798607529611,0.615597215059221
"67648",64948,44,"R","Caucasian",1,0,1,0,0,0,1,0,1,3,2,1,0,0,1,2,2,NA,2,50,50,50,50,50,2,1,1,1,0,-3,0.460778266191483,"EN",3,2,38,50,51,0,1,1,0,-2,1,1,3,2,28,50,96,70,50,1,2,0,1,-2,2,2,-1,0,1,3,2,50,50,81,100,100,1,2,2,0,-1,1,1,0,0,"Yes, I could see and hear the ad",-2,1,0.941115319728851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,4,"Yes",0,25,"june6_11908","june6_192",0.460778266191483,0,0.124692070052935,0.847759413446299,0.88513054349899,NA,1.20673306348783,-0.136616269880006,0.501884378651148,0.687457326966785,NA,2.5,2.5,2.5,2.5,NA,0.547622133241092,1.05186350780901,1.87215682408805,1.56283072507539,NA,FALSE,-0.762017477196549,1.5240349543931
"67649",9402,57,"D","Hispanic",1,0,0,1,0,1,0,1,0,0,2,2,-2,-2,-1,-2,-2,NA,-2,100,0,0,0,50,0,3,1,0,0,3,-1.36731612682343,"ES",0,2,100,50,50,-1,-2,0,-2,-1,1,1,2,2,100,50,50,91,100,-2,-2,-1,-2,-1,-2,-1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,2,3,50,75,50,-2,-2,-1,-1,1,-1,0,0,-1,1,NA,NA,NA,"Trans-Equality",1,1,0,1,"",5,6,9,12,"Yes",0,48,"june6_11948","june6_22",-1.36731612682343,0,-0.525146033431013,-0.651121491605379,NA,0.225523936337521,-1.95142375812638,-0.547475935170124,-0.638584856784288,NA,-0.163245314912701,1,1,2,NA,2.5,-1.37406380726985,-0.867438789418877,-1.17246246956776,NA,-0.841281881067828,TRUE,0.628121767791519,1.25624353558304
